                  1         2         3         4         5         6         7         8         9
  3.46E-02  1.23E-06  4.82E-07  2.38E-06  2.93E-06  1.64E-06  5.12E-06  6.11E-06  5.77E-06  3.94E-07
  4.00E-02  1.17E-06  4.61E-07  2.29E-06  2.85E-06  1.60E-06  5.03E-06  6.04E-06  5.73E-06  3.92E-07
  4.63E-02  1.10E-06  4.40E-07  2.20E-06  2.76E-06  1.56E-06  4.93E-06  5.97E-06  5.70E-06  3.90E-07
  5.35E-02  1.04E-06  4.18E-07  2.11E-06  2.66E-06  1.51E-06  4.82E-06  5.89E-06  5.65E-06  3.88E-07
  6.17E-02  9.75E-07  3.97E-07  2.01E-06  2.56E-06  1.47E-06  4.70E-06  5.80E-06  5.60E-06  3.86E-07
  7.11E-02  9.17E-07  3.75E-07  1.91E-06  2.45E-06  1.41E-06  4.58E-06  5.70E-06  5.55E-06  3.84E-07
  8.17E-02  8.62E-07  3.54E-07  1.81E-06  2.34E-06  1.36E-06  4.44E-06  5.59E-06  5.49E-06  3.81E-07
  9.37E-02  8.11E-07  3.33E-07  1.71E-06  2.23E-06  1.30E-06  4.29E-06  5.47E-06  5.43E-06  3.78E-07
  1.07E-01  7.64E-07  3.14E-07  1.62E-06  2.12E-06  1.24E-06  4.14E-06  5.35E-06  5.36E-06  3.74E-07
  1.23E-01  7.20E-07  2.95E-07  1.53E-06  2.01E-06  1.18E-06  3.98E-06  5.21E-06  5.28E-06  3.70E-07
  1.40E-01  6.81E-07  2.78E-07  1.44E-06  1.90E-06  1.13E-06  3.82E-06  5.06E-06  5.19E-06  3.66E-07
  1.60E-01  6.45E-07  2.62E-07  1.35E-06  1.80E-06  1.07E-06  3.65E-06  4.91E-06  5.10E-06  3.62E-07
  1.82E-01  6.13E-07  2.47E-07  1.28E-06  1.70E-06  1.01E-06  3.48E-06  4.75E-06  5.00E-06  3.57E-07
  2.07E-01  5.84E-07  2.34E-07  1.20E-06  1.60E-06  9.54E-07  3.31E-06  4.58E-06  4.89E-06  3.51E-07
  2.34E-01  5.57E-07  2.21E-07  1.14E-06  1.51E-06  9.02E-07  3.14E-06  4.40E-06  4.78E-06  3.46E-07
  2.65E-01  5.34E-07  2.10E-07  1.08E-06  1.43E-06  8.51E-07  2.98E-06  4.23E-06  4.66E-06  3.39E-07
