 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 84   2.241E-06   1.353E-06
 85   1.591E-06   3.556E-06
 86   1.822E-06   5.520E-06
 87   2.380E-06   7.166E-06
 88   2.398E-06   8.258E-06
 89   2.763E-06   8.856E-06
 90   3.189E-06   8.994E-06
 91   3.483E-06   9.009E-06
 92   3.475E-06   9.121E-06
 93   3.573E-06   9.118E-06
 94   3.664E-06   8.883E-06
 95   3.653E-06   8.329E-06
 96   3.578E-06   7.385E-06
 97   3.389E-06   6.435E-06
 98   3.201E-06   5.977E-06
 99   2.960E-06   5.586E-06
100   2.779E-06   4.828E-06
101   2.708E-08   8.617E-08
 NST=     3

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.907E-03   5.828E-04
  3   1.560E-03   2.124E-03
  4   1.259E-03   1.454E-03
  5   1.000E-03   1.135E-03
  6   7.801E-04   9.201E-04
  7   5.910E-04   6.104E-04
  8   4.307E-04   6.418E-04
  9   2.995E-04   5.590E-04
 10   1.977E-04   5.084E-04
 11   1.242E-04   4.504E-04
 12   7.543E-05   3.978E-04
 13   4.622E-05   3.470E-04
 14   3.064E-05   3.000E-04
 15   2.334E-05   2.540E-04
 16   2.029E-05   2.078E-04
 17   1.901E-05   1.632E-04
 18   1.826E-05   1.237E-04
 19   1.760E-05   9.081E-05
 20   1.689E-05   6.551E-05
 21   1.614E-05   4.793E-05
 22   1.534E-05   3.701E-05
 23   1.458E-05   3.100E-05
 24   1.394E-05   2.818E-05
 25   1.334E-05   2.711E-05
 26   1.279E-05   2.686E-05
 27   1.231E-05   2.696E-05
 28   1.190E-05   2.723E-05
 29   1.157E-05   2.760E-05
 30   1.132E-05   2.802E-05
 31   1.114E-05   2.846E-05
 32   1.104E-05   2.886E-05
 33   1.099E-05   2.915E-05
 34   1.097E-05   2.923E-05
 35   1.097E-05   2.901E-05
 36   1.107E-05   2.853E-05
 37   1.108E-05   2.761E-05
 38   1.099E-05   2.634E-05
 39   1.081E-05   2.491E-05
 40   1.063E-05   2.357E-05
 41   1.052E-05   2.249E-05
 42   1.051E-05   2.169E-05
 43   1.057E-05   2.106E-05
 44   1.063E-05   2.050E-05
 45   1.062E-05   2.003E-05
 46   1.051E-05   1.974E-05
 47   1.032E-05   1.970E-05
 48   1.002E-05   1.986E-05
 49   9.602E-06   2.007E-05
 50   9.011E-06   1.981E-05
 51   8.264E-06   1.939E-05
 52   7.421E-06   1.874E-05
 53   6.588E-06   1.789E-05
 54   5.873E-06   1.692E-05
 55   5.337E-06   1.594E-05
 56   4.973E-06   1.508E-05
 57   4.717E-06   1.438E-05
 58   4.484E-06   1.383E-05
 59   4.208E-06   1.336E-05
 60   3.863E-06   1.292E-05
 61   3.454E-06   1.245E-05
 62   3.013E-06   1.190E-05
 63   2.585E-06   1.125E-05
 64   2.208E-06   1.047E-05
 65   1.907E-06   9.611E-06
 66   1.678E-06   8.697E-06
 67   1.494E-06   7.739E-06
 68   1.368E-06   6.993E-06
 69   1.277E-06   6.440E-06
 70   1.208E-06   6.025E-06
 71   1.154E-06   5.682E-06
 72   1.113E-06   5.361E-06
 73   1.080E-06   5.034E-06
 74   1.053E-06   4.695E-06
 75   1.029E-06   4.353E-06
 76   1.004E-06   4.020E-06
 77   9.777E-07   3.704E-06
 78   9.498E-07   3.403E-06
 79   9.213E-07   3.105E-06
 80   8.937E-07   2.761E-06
 81   5.012E-07   2.024E-06
 82   4.905E-07   1.821E-06
 83   1.767E-05   1.126E-04
 84   2.450E-06   7.089E-07
 85   1.428E-06   3.155E-06
 86   1.834E-06   5.102E-06
 87   2.258E-06   6.822E-06
 88   2.369E-06   7.995E-06
 89   2.667E-06   8.662E-06
 90   3.006E-06   8.878E-06
 91   3.471E-06   8.886E-06
 92   3.413E-06   8.977E-06
 93   3.491E-06   9.010E-06
 94   3.557E-06   8.803E-06
 95   3.624E-06   8.321E-06
 96   3.479E-06   7.436E-06
 97   3.391E-06   6.469E-06
 98   3.181E-06   5.921E-06
 99   2.978E-06   5.396E-06
100   2.774E-06   4.553E-06
101   2.687E-08   8.228E-08
 NST=     4

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.916E-03   4.273E-04
  3   1.559E-03   2.895E-03
  4   1.256E-03   8.133E-04
  5   9.994E-04   7.950E-04
  6   7.794E-04   7.605E-04
  7   5.906E-04   6.252E-04
  8   4.303E-04   5.736E-04
  9   2.991E-04   5.382E-04
 10   1.976E-04   4.692E-04
 11   1.242E-04   4.091E-04
 12   7.550E-05   3.612E-04
 13   4.628E-05   3.181E-04
 14   3.065E-05   2.777E-04
 15   2.332E-05   2.381E-04
 16   2.026E-05   1.998E-04
 17   1.898E-05   1.612E-04
 18   1.824E-05   1.249E-04
 19   1.758E-05   9.347E-05
 20   1.688E-05   6.832E-05
 21   1.613E-05   5.014E-05
 22   1.534E-05   3.840E-05
 23   1.458E-05   3.171E-05
 24   1.394E-05   2.846E-05
 25   1.334E-05   2.718E-05
 26   1.279E-05   2.684E-05
 27   1.231E-05   2.692E-05
 28   1.190E-05   2.718E-05
 29   1.156E-05   2.753E-05
 30   1.131E-05   2.795E-05
 31   1.114E-05   2.839E-05
 32   1.104E-05   2.878E-05
 33   1.099E-05   2.907E-05
 34   1.097E-05   2.914E-05
 35   1.097E-05   2.892E-05
 36   1.107E-05   2.845E-05
 37   1.108E-05   2.754E-05
 38   1.099E-05   2.628E-05
 39   1.081E-05   2.486E-05
 40   1.063E-05   2.353E-05
 41   1.052E-05   2.246E-05
 42   1.051E-05   2.167E-05
 43   1.057E-05   2.104E-05
 44   1.063E-05   2.048E-05
 45   1.062E-05   2.001E-05
 46   1.051E-05   1.972E-05
 47   1.032E-05   1.968E-05
 48   1.002E-05   1.984E-05
 49   9.601E-06   2.004E-05
 50   9.010E-06   1.978E-05
 51   8.263E-06   1.935E-05
 52   7.420E-06   1.871E-05
 53   6.587E-06   1.786E-05
 54   5.872E-06   1.689E-05
 55   5.336E-06   1.592E-05
 56   4.972E-06   1.506E-05
 57   4.716E-06   1.436E-05
 58   4.483E-06   1.381E-05
 59   4.208E-06   1.335E-05
 60   3.863E-06   1.290E-05
 61   3.454E-06   1.243E-05
 62   3.014E-06   1.189E-05
 63   2.585E-06   1.124E-05
 64   2.209E-06   1.046E-05
 65   1.908E-06   9.604E-06
 66   1.678E-06   8.694E-06
 67   1.494E-06   7.739E-06
 68   1.367E-06   6.995E-06
 69   1.277E-06   6.443E-06
 70   1.208E-06   6.029E-06
 71   1.154E-06   5.688E-06
 72   1.113E-06   5.368E-06
 73   1.080E-06   5.042E-06
 74   1.053E-06   4.705E-06
 75   1.029E-06   4.365E-06
 76   1.004E-06   4.035E-06
 77   9.775E-07   3.721E-06
 78   9.495E-07   3.424E-06
 79   9.210E-07   3.129E-06
 80   8.934E-07   2.795E-06
 81   4.994E-07   2.058E-06
 82   4.931E-07   1.939E-06
 83   1.736E-05   1.121E-04
 84   2.611E-06   2.236E-07
 85   1.337E-06   2.858E-06
 86   1.810E-06   4.776E-06
 87   2.087E-06   6.543E-06
 88   2.367E-06   7.782E-06
 89   2.586E-06   8.500E-06
 90   2.917E-06   8.782E-06
 91   3.408E-06   8.794E-06
 92   3.382E-06   8.867E-06
 93   3.431E-06   8.925E-06
 94   3.500E-06   8.735E-06
 95   3.567E-06   8.304E-06
 96   3.437E-06   7.472E-06
 97   3.371E-06   6.505E-06
 98   3.167E-06   5.903E-06
 99   2.982E-06   5.291E-06
100   2.766E-06   4.344E-06
101   2.678E-08   7.959E-08
 NST=     5

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.930E-03   2.200E-03
  3   1.574E-03   1.282E-03
  4   1.259E-03   1.394E-03
  5   9.961E-04   1.178E-03
  6   7.769E-04   1.141E-03
  7   5.882E-04   7.573E-04
  8   4.286E-04   5.606E-04
  9   2.980E-04   4.759E-04
 10   1.969E-04   4.194E-04
 11   1.239E-04   3.659E-04
 12   7.540E-05   3.209E-04
 13   4.625E-05   2.844E-04
 14   3.063E-05   2.514E-04
 15   2.330E-05   2.196E-04
 16   2.023E-05   1.869E-04
 17   1.895E-05   1.546E-04
 18   1.822E-05   1.230E-04
 19   1.756E-05   9.415E-05
 20   1.687E-05   6.995E-05
 21   1.613E-05   5.180E-05
 22   1.534E-05   3.959E-05
 23   1.458E-05   3.238E-05
 24   1.393E-05   2.875E-05
 25   1.333E-05   2.726E-05
 26   1.279E-05   2.683E-05
 27   1.230E-05   2.687E-05
 28   1.189E-05   2.712E-05
 29   1.156E-05   2.747E-05
 30   1.131E-05   2.788E-05
 31   1.114E-05   2.831E-05
 32   1.103E-05   2.870E-05
 33   1.098E-05   2.898E-05
 34   1.097E-05   2.905E-05
 35   1.096E-05   2.884E-05
 36   1.107E-05   2.837E-05
 37   1.108E-05   2.747E-05
 38   1.098E-05   2.622E-05
 39   1.081E-05   2.481E-05
 40   1.063E-05   2.349E-05
 41   1.052E-05   2.242E-05
 42   1.051E-05   2.164E-05
 43   1.057E-05   2.102E-05
 44   1.063E-05   2.047E-05
 45   1.061E-05   1.999E-05
 46   1.051E-05   1.970E-05
 47   1.032E-05   1.966E-05
 48   1.002E-05   1.982E-05
 49   9.600E-06   2.001E-05
 50   9.009E-06   1.975E-05
 51   8.262E-06   1.932E-05
 52   7.419E-06   1.868E-05
 53   6.586E-06   1.783E-05
 54   5.871E-06   1.686E-05
 55   5.335E-06   1.590E-05
 56   4.971E-06   1.504E-05
 57   4.716E-06   1.434E-05
 58   4.483E-06   1.380E-05
 59   4.208E-06   1.333E-05
 60   3.863E-06   1.289E-05
 61   3.454E-06   1.242E-05
 62   3.014E-06   1.188E-05
 63   2.586E-06   1.122E-05
 64   2.209E-06   1.045E-05
 65   1.908E-06   9.597E-06
 66   1.678E-06   8.689E-06
 67   1.494E-06   7.737E-06
 68   1.367E-06   6.996E-06
 69   1.276E-06   6.445E-06
 70   1.208E-06   6.032E-06
 71   1.154E-06   5.692E-06
 72   1.112E-06   5.373E-06
 73   1.080E-06   5.048E-06
 74   1.053E-06   4.713E-06
 75   1.028E-06   4.375E-06
