  i  Z(km)      P(bar)      T(K)  
  8 0.0000E+00 2.1080E-06 3.2925E-06
  9 0.0000E+00 2.1080E-06 3.2925E-06
 10 0.0000E+00 2.1080E-06 3.2925E-06
 11 0.0000E+00 2.1080E-06 3.2925E-06
 12 0.0000E+00 2.1080E-06 3.2925E-06
 13 0.0000E+00 2.1080E-06 3.2925E-06
 14 0.0000E+00 2.1080E-06 3.2925E-06
 15 0.0000E+00 2.1080E-06 3.2925E-06
 16 0.0000E+00 2.1080E-06 3.2925E-06
 17 0.0000E+00 2.1080E-06 3.2925E-06
 18 0.0000E+00 2.1080E-06 3.2925E-06
 19 0.0000E+00 2.1080E-06 3.2925E-06
 20 0.0000E+00 2.1080E-06 3.2925E-06
 21 0.0000E+00 2.1080E-06 3.2925E-06
 22 0.0000E+00 2.1080E-06 3.2925E-06
 23 0.0000E+00 2.1080E-06 3.2925E-06
 24 0.0000E+00 2.1080E-06 3.2925E-06
 25 0.0000E+00 2.1080E-06 3.2925E-06
 26 0.0000E+00 2.1080E-06 3.2925E-06
 27 0.0000E+00 2.1080E-06 3.2925E-06
 28 0.0000E+00 2.1080E-06 3.2925E-06
 29 0.0000E+00 2.1080E-06 3.2925E-06
 30 0.0000E+00 2.1080E-06 3.2925E-06
 31 0.0000E+00 2.1080E-06 3.2925E-06
 32 0.0000E+00 2.1080E-06 3.2925E-06
 33 0.0000E+00 2.1080E-06 3.2925E-06
 34 0.0000E+00 2.1080E-06 3.2925E-06
 35 0.0000E+00 2.1080E-06 3.2925E-06
 36 0.0000E+00 2.1080E-06 3.2925E-06
 37 0.0000E+00 2.1080E-06 3.2925E-06
 38 0.0000E+00 2.1080E-06 3.2925E-06
 39 0.0000E+00 2.1080E-06 3.2925E-06
 40 0.0000E+00 2.1080E-06 3.2925E-06
 41 0.0000E+00 2.1080E-06 3.2925E-06
 42 0.0000E+00 2.1080E-06 3.2925E-06
 43 0.0000E+00 2.1080E-06 3.2925E-06
 44 0.0000E+00 2.1080E-06 3.2925E-06
 45 0.0000E+00 2.1080E-06 3.2925E-06
 46 0.0000E+00 2.1080E-06 3.2925E-06
 47 0.0000E+00 2.1080E-06 3.2925E-06
 48 0.0000E+00 2.1080E-06 3.2925E-06
 49 0.0000E+00 2.1080E-06 3.2925E-06
 50 0.0000E+00 2.1080E-06 3.2925E-06
 51 0.0000E+00 2.1080E-06 3.2925E-06
 52 0.0000E+00 2.1080E-06 3.2925E-06
 53 0.0000E+00 2.1080E-06 3.2925E-06
 54 0.0000E+00 2.1080E-06 3.2925E-06
 55 0.0000E+00 2.1080E-06 3.2925E-06
 56 0.0000E+00 2.1080E-06 3.2925E-06
 57 0.0000E+00 2.1080E-06 3.2925E-06
 58 0.0000E+00 2.1080E-06 3.2925E-06
 59 0.0000E+00 2.1080E-06 3.2925E-06
 60 0.0000E+00 2.1080E-06 3.2925E-06
 61 0.0000E+00 2.1080E-06 3.2925E-06
 62 0.0000E+00 2.1080E-06 3.2925E-06
 63 0.0000E+00 2.1080E-06 3.2925E-06
 64 0.0000E+00 2.1080E-06 3.2925E-06
 65 0.0000E+00 2.1080E-06 3.2925E-06
 66 0.0000E+00 2.1080E-06 3.2925E-06
 67 0.0000E+00 2.1080E-06 3.2925E-06
 68 0.0000E+00 2.1080E-06 3.2925E-06
 69 0.0000E+00 2.1080E-06 3.2925E-06
 70 0.0000E+00 2.1080E-06 3.2925E-06
 71 0.0000E+00 2.1080E-06 3.2925E-06
 72 0.0000E+00 2.1080E-06 3.2925E-06
 73 0.0000E+00 2.1080E-06 3.2925E-06
 74 0.0000E+00 2.1080E-06 3.2925E-06
 75 0.0000E+00 2.1080E-06 3.2925E-06
 76 0.0000E+00 2.1080E-06 3.2925E-06
 77 0.0000E+00 2.1080E-06 3.2925E-06
 78 0.0000E+00 2.1080E-06 3.2925E-06
 79 0.0000E+00 2.1080E-06 3.2925E-06
 80 1.1996E-07 2.1005E-06 3.2925E-06
 81 1.3793E-07 2.0993E-06 3.2702E-06
 82 3.4206E-04 3.4450E-04 4.4147E-06
 83 3.9110E-04 3.9523E-04 8.7172E-06
 84 4.4698E-04 4.5499E-04 1.6628E-05
 85 5.1066E-04 5.2567E-04 3.0674E-05
 86 5.8221E-04 6.0945E-04 5.4760E-05
 87 6.6094E-04 7.0881E-04 9.4635E-05
 88 7.4503E-04 8.2644E-04 1.5830E-04
 89 8.3115E-04 9.6513E-04 2.5617E-04
 90 9.1431E-04 1.1275E-03 4.0077E-04
 91 9.8793E-04 1.3158E-03 6.0570E-04
 92 1.0445E-03 1.5313E-03 8.8406E-04
 93 1.0766E-03 1.7746E-03 1.2465E-03
 94 1.0778E-03 2.0452E-03 1.6995E-03
 95 1.0440E-03 2.3414E-03 2.2448E-03
 96 9.6040E-04 2.6590E-03 2.9159E-03
 97 8.0241E-04 2.9577E-03 3.6551E-03
 98 5.5874E-04 3.1840E-03 4.4151E-03
 99 1.6230E-04 3.3001E-03 5.1964E-03
100 0.0000E+00 3.3254E-03 5.6712E-03
 
  i  Z(km)      P(bar)      T(K)  
  1 4.3988E+06 1.0000E+00 2.1771E+02
  2 4.3245E+06 1.2655E+00 2.0734E+02
  3 4.2534E+06 1.5986E+00 2.0300E+02
  4 4.1839E+06 2.0159E+00 2.0112E+02
  5 4.1156E+06 2.5375E+00 1.9937E+02
  6 4.0483E+06 3.1884E+00 1.9796E+02
  7 3.9821E+06 3.9991E+00 1.9632E+02
  8 3.9170E+06 5.0071E+00 1.9497E+02
  9 3.8527E+06 6.2580E+00 1.9424E+02
 10 3.7891E+06 7.8076E+00 1.9395E+02
 11 3.7261E+06 9.7234E+00 1.9407E+02
 12 3.6635E+06 1.2088E+01 1.9451E+02
 13 3.6012E+06 1.5001E+01 1.9517E+02
 14 3.5393E+06 1.8582E+01 1.9595E+02
 15 3.4776E+06 2.2978E+01 1.9677E+02
 16 3.4162E+06 2.8363E+01 1.9755E+02
 17 3.3551E+06 3.4948E+01 1.9823E+02
 18 3.2944E+06 4.2985E+01 1.9878E+02
 19 3.2341E+06 5.2776E+01 1.9919E+02
 20 3.1742E+06 6.4683E+01 1.9946E+02
 21 3.1147E+06 7.9135E+01 1.9963E+02
 22 3.0558E+06 9.6643E+01 1.9972E+02
 23 2.9974E+06 1.1782E+02 1.9976E+02
 24 2.9395E+06 1.4337E+02 1.9977E+02
 25 2.8821E+06 1.7416E+02 1.9977E+02
 26 2.8253E+06 2.1118E+02 1.9976E+02
 27 2.7690E+06 2.5562E+02 1.9975E+02
 28 2.7133E+06 3.0887E+02 1.9974E+02
 29 2.6581E+06 3.7253E+02 1.9973E+02
 30 2.6034E+06 4.4853E+02 1.9972E+02
 31 2.5493E+06 5.3906E+02 1.9971E+02
 32 2.4957E+06 6.4672E+02 1.9971E+02
 33 2.4427E+06 7.7450E+02 1.9971E+02
 34 2.3902E+06 9.2587E+02 1.9971E+02
 35 2.3382E+06 1.1049E+03 1.9972E+02
 36 2.2867E+06 1.3161E+03 1.9973E+02
 37 2.2358E+06 1.5650E+03 1.9975E+02
 38 2.1854E+06 1.8576E+03 1.9977E+02
 39 2.1356E+06 2.2010E+03 1.9979E+02
 40 2.0862E+06 2.6032E+03 1.9981E+02
 41 2.0374E+06 3.0735E+03 1.9982E+02
 42 1.9891E+06 3.6223E+03 1.9983E+02
 43 1.9414E+06 4.2615E+03 1.9984E+02
 44 1.8942E+06 5.0046E+03 1.9985E+02
 45 1.8475E+06 5.8668E+03 1.9985E+02
 46 1.8014E+06 6.8653E+03 1.9985E+02
 47 1.7557E+06 8.0194E+03 1.9984E+02
 48 1.7107E+06 9.3510E+03 1.9983E+02
 49 1.6661E+06 1.0884E+04 1.9983E+02
 50 1.6221E+06 1.2646E+04 1.9982E+02
 51 1.5786E+06 1.4668E+04 1.9982E+02
 52 1.5357E+06 1.6982E+04 1.9982E+02
 53 1.4932E+06 1.9626E+04 1.9982E+02
 54 1.4513E+06 2.2642E+04 1.9983E+02
 55 1.4100E+06 2.6074E+04 1.9984E+02
 56 1.3691E+06 2.9974E+04 1.9985E+02
 57 1.3288E+06 3.4396E+04 1.9985E+02
 58 1.2891E+06 3.9399E+04 1.9985E+02
 59 1.2498E+06 4.5051E+04 1.9986E+02
 60 1.2111E+06 5.1421E+04 1.9986E+02
 61 1.1729E+06 5.8588E+04 1.9986E+02
 62 1.1352E+06 6.6635E+04 1.9986E+02
 63 1.0981E+06 7.5653E+04 1.9987E+02
 64 1.0615E+06 8.5738E+04 1.9988E+02
 65 1.0254E+06 9.6996E+04 1.9989E+02
 66 9.8984E+05 1.0954E+05 1.9990E+02
 67 9.5481E+05 1.2348E+05 1.9991E+02
 68 9.2031E+05 1.3895E+05 1.9992E+02
 69 8.8633E+05 1.5607E+05 1.9992E+02
 70 8.5288E+05 1.7500E+05 1.9993E+02
 71 8.1995E+05 1.9588E+05 1.9993E+02
 72 7.8756E+05 2.1885E+05 1.9994E+02
 73 7.5569E+05 2.4409E+05 1.9994E+02
 74 7.2434E+05 2.7175E+05 1.9995E+02
 75 6.9352E+05 3.0201E+05 1.9995E+02
 76 6.6323E+05 3.3504E+05 1.9996E+02
 77 6.3346E+05 3.7102E+05 1.9996E+02
 78 6.0422E+05 4.1014E+05 1.9997E+02
 79 5.7551E+05 4.5257E+05 1.9997E+02
 80 5.4732E+05 4.9851E+05 1.9997E+02
 81 5.1965E+05 5.4813E+05 2.0004E+02
 82 4.9245E+05 6.0163E+05 2.0092E+02
 83 4.6555E+05 6.5916E+05 2.0323E+02
 84 4.3869E+05 7.2092E+05 2.0859E+02
 85 4.1169E+05 7.8707E+05 2.1396E+02
 86 3.8457E+05 8.5775E+05 2.1934E+02
 87 3.5735E+05 9.3312E+05 2.2471E+02
 88 3.3008E+05 1.0133E+06 2.3004E+02
 89 3.0278E+05 1.0984E+06 2.3533E+02
 90 2.7550E+05 1.1886E+06 2.4053E+02
 91 2.4826E+05 1.2838E+06 2.4560E+02
 92 2.2111E+05 1.3843E+06 2.5053E+02
 93 1.9409E+05 1.4899E+06 2.5526E+02
 94 1.6725E+05 1.6008E+06 2.5977E+02
 95 1.4064E+05 1.7168E+06 2.6403E+02
 96 1.1430E+05 1.8380E+06 2.6805E+02
 97 8.8275E+04 1.9643E+06 2.7196E+02
 98 6.2589E+04 2.0954E+06 2.7577E+02
 99 3.7278E+04 2.2314E+06 2.7935E+02
100 1.2378E+04 2.3720E+06 2.8277E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.1080E-06 3.2925E-06
  2 0.0000E+00 2.1080E-06 3.2925E-06
  3 0.0000E+00 2.1080E-06 3.2925E-06
  4 0.0000E+00 2.1080E-06 3.2925E-06
  5 0.0000E+00 2.1080E-06 3.2925E-06
  6 0.0000E+00 2.1080E-06 3.2925E-06
  7 0.0000E+00 2.1080E-06 3.2925E-06
  8 0.0000E+00 2.1080E-06 3.2925E-06
  9 0.0000E+00 2.1080E-06 3.2925E-06
 10 0.0000E+00 2.1080E-06 3.2925E-06
 11 0.0000E+00 2.1080E-06 3.2925E-06
 12 0.0000E+00 2.1080E-06 3.2925E-06
 13 0.0000E+00 2.1080E-06 3.2925E-06
 14 0.0000E+00 2.1080E-06 3.2925E-06
 15 0.0000E+00 2.1080E-06 3.2925E-06
 16 0.0000E+00 2.1080E-06 3.2925E-06
 17 0.0000E+00 2.1080E-06 3.2925E-06
 18 0.0000E+00 2.1080E-06 3.2925E-06
 19 0.0000E+00 2.1080E-06 3.2925E-06
 20 0.0000E+00 2.1080E-06 3.2925E-06
 21 0.0000E+00 2.1080E-06 3.2925E-06
 22 0.0000E+00 2.1080E-06 3.2925E-06
 23 0.0000E+00 2.1080E-06 3.2925E-06
 24 0.0000E+00 2.1080E-06 3.2925E-06
 25 0.0000E+00 2.1080E-06 3.2925E-06
 26 0.0000E+00 2.1080E-06 3.2925E-06
 27 0.0000E+00 2.1080E-06 3.2925E-06
 28 0.0000E+00 2.1080E-06 3.2925E-06
 29 0.0000E+00 2.1080E-06 3.2925E-06
 30 0.0000E+00 2.1080E-06 3.2925E-06
 31 0.0000E+00 2.1080E-06 3.2925E-06
 32 0.0000E+00 2.1080E-06 3.2925E-06
 33 0.0000E+00 2.1080E-06 3.2925E-06
 34 0.0000E+00 2.1080E-06 3.2925E-06
 35 0.0000E+00 2.1080E-06 3.2925E-06
 36 0.0000E+00 2.1080E-06 3.2925E-06
 37 0.0000E+00 2.1080E-06 3.2925E-06
 38 0.0000E+00 2.1080E-06 3.2925E-06
 39 0.0000E+00 2.1080E-06 3.2925E-06
 40 0.0000E+00 2.1080E-06 3.2925E-06
 41 0.0000E+00 2.1080E-06 3.2925E-06
 42 0.0000E+00 2.1080E-06 3.2925E-06
 43 0.0000E+00 2.1080E-06 3.2925E-06
 44 0.0000E+00 2.1080E-06 3.2925E-06
 45 0.0000E+00 2.1080E-06 3.2925E-06
 46 0.0000E+00 2.1080E-06 3.2925E-06
 47 0.0000E+00 2.1080E-06 3.2925E-06
 48 0.0000E+00 2.1080E-06 3.2925E-06
 49 0.0000E+00 2.1080E-06 3.2925E-06
 50 0.0000E+00 2.1080E-06 3.2925E-06
 51 0.0000E+00 2.1080E-06 3.2925E-06
 52 0.0000E+00 2.1080E-06 3.2925E-06
 53 0.0000E+00 2.1080E-06 3.2925E-06
 54 0.0000E+00 2.1080E-06 3.2925E-06
 55 0.0000E+00 2.1080E-06 3.2925E-06
 56 0.0000E+00 2.1080E-06 3.2925E-06
 57 0.0000E+00 2.1080E-06 3.2925E-06
 58 0.0000E+00 2.1080E-06 3.2925E-06
 59 0.0000E+00 2.1080E-06 3.2925E-06
 60 0.0000E+00 2.1080E-06 3.2925E-06
 61 0.0000E+00 2.1080E-06 3.2925E-06
 62 0.0000E+00 2.1080E-06 3.2925E-06
 63 0.0000E+00 2.1080E-06 3.2925E-06
 64 0.0000E+00 2.1080E-06 3.2925E-06
 65 0.0000E+00 2.1080E-06 3.2925E-06
 66 0.0000E+00 2.1080E-06 3.2925E-06
 67 0.0000E+00 2.1080E-06 3.2925E-06
 68 0.0000E+00 2.1080E-06 3.2925E-06
 69 0.0000E+00 2.1080E-06 3.2925E-06
 70 0.0000E+00 2.1080E-06 3.2925E-06
 71 0.0000E+00 2.1080E-06 3.2925E-06
 72 0.0000E+00 2.1080E-06 3.2925E-06
 73 0.0000E+00 2.1080E-06 3.2925E-06
 74 0.0000E+00 2.1080E-06 3.2925E-06
 75 0.0000E+00 2.1080E-06 3.2925E-06
 76 0.0000E+00 2.1080E-06 3.2925E-06
 77 0.0000E+00 2.1080E-06 3.2925E-06
 78 0.0000E+00 2.1080E-06 3.2925E-06
 79 0.0000E+00 2.1080E-06 3.2925E-06
 80 1.1232E-07 2.1010E-06 3.2925E-06
 81 1.4874E-07 2.0986E-06 3.1913E-06
 82 3.1973E-04 3.2200E-04 3.9155E-06
 83 3.6577E-04 3.6944E-04 7.7786E-06
 84 4.1815E-04 4.2532E-04 1.4922E-05
 85 4.7793E-04 4.9144E-04 2.7671E-05
 86 5.4522E-04 5.6986E-04 4.9639E-05
 87 6.1944E-04 6.6293E-04 8.6171E-05
 88 6.9895E-04 7.7323E-04 1.4474E-04
 89 7.8071E-04 9.0342E-04 2.3513E-04
 90 8.6009E-04 1.0561E-03 3.6914E-04
 91 9.3099E-04 1.2334E-03 5.5968E-04
 92 9.8639E-04 1.4368E-03 8.1926E-04
 93 1.0193E-03 1.6670E-03 1.1581E-03
 94 1.0239E-03 1.9237E-03 1.5827E-03
 95 9.9660E-04 2.2061E-03 2.0950E-03
 96 9.2403E-04 2.5107E-03 2.7267E-03
 97 7.6385E-04 2.7969E-03 3.4589E-03
 98 5.3168E-04 3.0124E-03 4.1644E-03
 99 1.5295E-04 3.1226E-03 4.9167E-03
100 0.0000E+00 3.1465E-03 5.3634E-03
 
  i  Z(km)      P(bar)      T(K)  
  1 4.4041E+06 1.0000E+00 2.3064E+02
  2 4.3245E+06 1.2655E+00 2.2498E+02
  3 4.2489E+06 1.5986E+00 2.1127E+02
  4 4.1777E+06 2.0159E+00 2.0235E+02
  5 4.1091E+06 2.5375E+00 1.9974E+02
  6 4.0419E+06 3.1884E+00 1.9764E+02
  7 3.9759E+06 3.9991E+00 1.9562E+02
  8 3.9110E+06 5.0071E+00 1.9389E+02
  9 3.8471E+06 6.2580E+00 1.9288E+02
 10 3.7840E+06 7.8076E+00 1.9251E+02
 11 3.7215E+06 9.7234E+00 1.9261E+02
 12 3.6593E+06 1.2088E+01 1.9309E+02
 13 3.5975E+06 1.5001E+01 1.9386E+02
 14 3.5360E+06 1.8582E+01 1.9479E+02
 15 3.4746E+06 2.2978E+01 1.9578E+02
 16 3.4135E+06 2.8363E+01 1.9674E+02
 17 3.3526E+06 3.4948E+01 1.9761E+02
 18 3.2921E+06 4.2985E+01 1.9832E+02
 19 3.2319E+06 5.2776E+01 1.9886E+02
 20 3.1720E+06 6.4683E+01 1.9924E+02
 21 3.1126E+06 7.9135E+01 1.9948E+02
 22 3.0537E+06 9.6643E+01 1.9961E+02
 23 2.9953E+06 1.1782E+02 1.9967E+02
 24 2.9375E+06 1.4337E+02 1.9969E+02
 25 2.8802E+06 1.7416E+02 1.9969E+02
 26 2.8234E+06 2.1118E+02 1.9968E+02
 27 2.7671E+06 2.5562E+02 1.9967E+02
 28 2.7114E+06 3.0887E+02 1.9965E+02
 29 2.6562E+06 3.7253E+02 1.9964E+02
 30 2.6016E+06 4.4853E+02 1.9963E+02
 31 2.5475E+06 5.3906E+02 1.9962E+02
 32 2.4939E+06 6.4672E+02 1.9961E+02
 33 2.4409E+06 7.7450E+02 1.9961E+02
 34 2.3884E+06 9.2587E+02 1.9961E+02
 35 2.3365E+06 1.1049E+03 1.9963E+02
 36 2.2850E+06 1.3161E+03 1.9965E+02
 37 2.2341E+06 1.5650E+03 1.9967E+02
 38 2.1838E+06 1.8576E+03 1.9969E+02
 39 2.1339E+06 2.2010E+03 1.9972E+02
 40 2.0846E+06 2.6032E+03 1.9974E+02
 41 2.0358E+06 3.0735E+03 1.9976E+02
 42 1.9876E+06 3.6223E+03 1.9977E+02
 43 1.9398E+06 4.2615E+03 1.9979E+02
 44 1.8926E+06 5.0046E+03 1.9979E+02
 45 1.8460E+06 5.8668E+03 1.9980E+02
 46 1.7998E+06 6.8653E+03 1.9980E+02
 47 1.7542E+06 8.0194E+03 1.9979E+02
 48 1.7092E+06 9.3510E+03 1.9978E+02
 49 1.6646E+06 1.0884E+04 1.9977E+02
 50 1.6206E+06 1.2646E+04 1.9976E+02
 51 1.5772E+06 1.4668E+04 1.9976E+02
 52 1.5342E+06 1.6982E+04 1.9976E+02
 53 1.4918E+06 1.9626E+04 1.9977E+02
 54 1.4499E+06 2.2642E+04 1.9978E+02
 55 1.4086E+06 2.6074E+04 1.9978E+02
 56 1.3677E+06 2.9974E+04 1.9979E+02
 57 1.3274E+06 3.4396E+04 1.9980E+02
 58 1.2877E+06 3.9399E+04 1.9980E+02
 59 1.2484E+06 4.5051E+04 1.9981E+02
 60 1.2097E+06 5.1421E+04 1.9981E+02
 61 1.1715E+06 5.8588E+04 1.9981E+02
 62 1.1339E+06 6.6635E+04 1.9982E+02
 63 1.0968E+06 7.5653E+04 1.9983E+02
 64 1.0602E+06 8.5738E+04 1.9984E+02
 65 1.0241E+06 9.6996E+04 1.9985E+02
 66 9.8853E+05 1.0954E+05 1.9987E+02
 67 9.5350E+05 1.2348E+05 1.9988E+02
 68 9.1900E+05 1.3895E+05 1.9989E+02
 69 8.8503E+05 1.5607E+05 1.9990E+02
 70 8.5158E+05 1.7500E+05 1.9991E+02
 71 8.1866E+05 1.9588E+05 1.9991E+02
 72 7.8627E+05 2.1885E+05 1.9992E+02
 73 7.5440E+05 2.4409E+05 1.9992E+02
 74 7.2306E+05 2.7175E+05 1.9993E+02
 75 6.9224E+05 3.0201E+05 1.9994E+02
 76 6.6195E+05 3.3504E+05 1.9994E+02
 77 6.3219E+05 3.7102E+05 1.9995E+02
 78 6.0295E+05 4.1014E+05 1.9995E+02
 79 5.7424E+05 4.5257E+05 1.9996E+02
 80 5.4605E+05 4.9851E+05 1.9998E+02
 81 5.1838E+05 5.4813E+05 2.0008E+02
 82 4.9118E+05 6.0163E+05 2.0080E+02
 83 4.6434E+05 6.5916E+05 2.0260E+02
 84 4.3756E+05 7.2092E+05 2.0796E+02
 85 4.1063E+05 7.8707E+05 2.1333E+02
 86 3.8359E+05 8.5775E+05 2.1871E+02
 87 3.5646E+05 9.3312E+05 2.2407E+02
 88 3.2926E+05 1.0133E+06 2.2941E+02
 89 3.0204E+05 1.0984E+06 2.3469E+02
 90 2.7482E+05 1.1886E+06 2.3989E+02
 91 2.4765E+05 1.2838E+06 2.4497E+02
 92 2.2057E+05 1.3843E+06 2.4989E+02
 93 1.9362E+05 1.4899E+06 2.5463E+02
 94 1.6685E+05 1.6008E+06 2.5913E+02
 95 1.4031E+05 1.7168E+06 2.6340E+02
 96 1.1403E+05 1.8380E+06 2.6741E+02
 97 8.8069E+04 1.9643E+06 2.7133E+02
 98 6.2443E+04 2.0954E+06 2.7513E+02
 99 3.7191E+04 2.2314E+06 2.7872E+02
100 1.2350E+04 2.3720E+06 2.8214E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.1080E-06 3.2925E-06
  2 0.0000E+00 2.1080E-06 3.2925E-06
  3 0.0000E+00 2.1080E-06 3.2925E-06
  4 0.0000E+00 2.1080E-06 3.2925E-06
  5 0.0000E+00 2.1080E-06 3.2925E-06
  6 0.0000E+00 2.1080E-06 3.2925E-06
  7 0.0000E+00 2.1080E-06 3.2925E-06
  8 0.0000E+00 2.1080E-06 3.2925E-06
  9 0.0000E+00 2.1080E-06 3.2925E-06
 10 0.0000E+00 2.1080E-06 3.2925E-06
 11 0.0000E+00 2.1080E-06 3.2925E-06
 12 0.0000E+00 2.1080E-06 3.2925E-06
 13 0.0000E+00 2.1080E-06 3.2925E-06
 14 0.0000E+00 2.1080E-06 3.2925E-06
 15 0.0000E+00 2.1080E-06 3.2925E-06
 16 0.0000E+00 2.1080E-06 3.2925E-06
 17 0.0000E+00 2.1080E-06 3.2925E-06
 18 0.0000E+00 2.1080E-06 3.2925E-06
 19 0.0000E+00 2.1080E-06 3.2925E-06
 20 0.0000E+00 2.1080E-06 3.2925E-06
 21 0.0000E+00 2.1080E-06 3.2925E-06
 22 0.0000E+00 2.1080E-06 3.2925E-06
 23 0.0000E+00 2.1080E-06 3.2925E-06
 24 0.0000E+00 2.1080E-06 3.2925E-06
 25 0.0000E+00 2.1080E-06 3.2925E-06
 26 0.0000E+00 2.1080E-06 3.2925E-06
 27 0.0000E+00 2.1080E-06 3.2925E-06
 28 0.0000E+00 2.1080E-06 3.2925E-06
 29 0.0000E+00 2.1080E-06 3.2925E-06
 30 0.0000E+00 2.1080E-06 3.2925E-06
 31 0.0000E+00 2.1080E-06 3.2925E-06
 32 0.0000E+00 2.1080E-06 3.2925E-06
 33 0.0000E+00 2.1080E-06 3.2925E-06
 34 0.0000E+00 2.1080E-06 3.2925E-06
 35 0.0000E+00 2.1080E-06 3.2925E-06
 36 0.0000E+00 2.1080E-06 3.2925E-06
 37 0.0000E+00 2.1080E-06 3.2925E-06
 38 0.0000E+00 2.1080E-06 3.2925E-06
 39 0.0000E+00 2.1080E-06 3.2925E-06
 40 0.0000E+00 2.1080E-06 3.2925E-06
 41 0.0000E+00 2.1080E-06 3.2925E-06
 42 0.0000E+00 2.1080E-06 3.2925E-06
 43 0.0000E+00 2.1080E-06 3.2925E-06
 44 0.0000E+00 2.1080E-06 3.2925E-06
 45 0.0000E+00 2.1080E-06 3.2925E-06
 46 0.0000E+00 2.1080E-06 3.2925E-06
 47 0.0000E+00 2.1080E-06 3.2925E-06
 48 0.0000E+00 2.1080E-06 3.2925E-06
 49 0.0000E+00 2.1080E-06 3.2925E-06
 50 0.0000E+00 2.1080E-06 3.2925E-06
 51 0.0000E+00 2.1080E-06 3.2925E-06
 52 0.0000E+00 2.1080E-06 3.2925E-06
 53 0.0000E+00 2.1080E-06 3.2925E-06
 54 0.0000E+00 2.1080E-06 3.2925E-06
 55 0.0000E+00 2.1080E-06 3.2925E-06
 56 0.0000E+00 2.1080E-06 3.2925E-06
 57 0.0000E+00 2.1080E-06 3.2925E-06
 58 0.0000E+00 2.1080E-06 3.2925E-06
 59 0.0000E+00 2.1080E-06 3.2925E-06
 60 0.0000E+00 2.1080E-06 3.2925E-06
 61 0.0000E+00 2.1080E-06 3.2925E-06
 62 0.0000E+00 2.1080E-06 3.2925E-06
 63 0.0000E+00 2.1080E-06 3.2925E-06
 64 0.0000E+00 2.1080E-06 3.2925E-06
 65 0.0000E+00 2.1080E-06 3.2925E-06
 66 0.0000E+00 2.1080E-06 3.2925E-06
 67 0.0000E+00 2.1080E-06 3.2925E-06
 68 0.0000E+00 2.1080E-06 3.2925E-06
 69 0.0000E+00 2.1080E-06 3.2925E-06
 70 0.0000E+00 2.1080E-06 3.2925E-06
 71 0.0000E+00 2.1080E-06 3.2925E-06
 72 0.0000E+00 2.1080E-06 3.2925E-06
 73 0.0000E+00 2.1080E-06 3.2925E-06
 74 0.0000E+00 2.1080E-06 3.2925E-06
 75 0.0000E+00 2.1080E-06 3.2925E-06
 76 0.0000E+00 2.1080E-06 3.2925E-06
 77 0.0000E+00 2.1080E-06 3.2925E-06
 78 0.0000E+00 2.1080E-06 3.2925E-06
 79 0.0000E+00 2.1080E-06 3.2925E-06
 80 1.0532E-07 2.1014E-06 3.2925E-06
 81 1.6048E-07 2.0978E-06 3.1295E-06
 82 3.0354E-04 3.0569E-04 3.5629E-06
 83 3.4738E-04 3.5073E-04 7.1122E-06
 84 3.9723E-04 4.0379E-04 1.3704E-05
 85 4.5418E-04 4.6660E-04 2.5518E-05
 86 5.1837E-04 5.4113E-04 4.5953E-05
 87 5.8932E-04 6.2964E-04 8.0055E-05
 88 6.6551E-04 7.3462E-04 1.3491E-04
 89 7.4413E-04 8.5866E-04 2.1982E-04
 90 8.2082E-04 1.0043E-03 3.4605E-04
 91 8.8985E-04 1.1736E-03 5.2600E-04
 92 9.4460E-04 1.3683E-03 7.7172E-04
 93 9.7849E-04 1.5891E-03 1.0932E-03
 94 9.8610E-04 1.8361E-03 1.4967E-03
 95 9.6424E-04 2.1088E-03 1.9845E-03
 96 9.0101E-04 2.4050E-03 2.5868E-03
 97 7.4186E-04 2.6838E-03 3.3057E-03
 98 5.2121E-04 2.8939E-03 3.9686E-03
 99 1.5963E-04 3.0036E-03 4.7324E-03
100 0.0000E+00 3.0285E-03 5.1230E-03
 
  i  Z(km)      P(bar)      T(K)  
  1 4.4044E+06 1.0000E+00 2.2990E+02
  2 4.3247E+06 1.2655E+00 2.2663E+02
  3 4.2480E+06 1.5986E+00 2.1575E+02
  4 4.1754E+06 2.0159E+00 2.0658E+02
  5 4.1059E+06 2.5375E+00 2.0075E+02
  6 4.0386E+06 3.1884E+00 1.9708E+02
  7 3.9727E+06 3.9991E+00 1.9527E+02
  8 3.9080E+06 5.0071E+00 1.9359E+02
  9 3.8442E+06 6.2580E+00 1.9245E+02
 10 3.7813E+06 7.8076E+00 1.9197E+02
 11 3.7189E+06 9.7234E+00 1.9204E+02
 12 3.6569E+06 1.2088E+01 1.9252E+02
 13 3.5953E+06 1.5001E+01 1.9330E+02
 14 3.5339E+06 1.8582E+01 1.9427E+02
 15 3.4727E+06 2.2978E+01 1.9532E+02
 16 3.4118E+06 2.8363E+01 1.9635E+02
 17 3.3510E+06 3.4948E+01 1.9728E+02
 18 3.2905E+06 4.2985E+01 1.9807E+02
 19 3.2304E+06 5.2776E+01 1.9867E+02
 20 3.1706E+06 6.4683E+01 1.9911E+02
