 
    OUTPUT FILES FOR THE Sun  
 
 Solar Constant= 1.000   F_CH4= 9.9292E-61  F_CO2= 3.6000E-04  F_O2= 9.9292E-28  F_N2= 9.8299E-01  F_H2= 5.2625E-27  F_AR= 9.9292E-03  IO3 =  0   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.060  G=2000.0  IMW= 0  INVERSE= 0

 FNO2 = 5.032E-72
 
 NST=     1 JCONV= 82 CHG=1.88E-02 dt0=5.00E+03 DIVF(1)=-6.02E-02 DIVFrms= 5.09E-02 DT(ND)=-1.73E+00 T(ND)=2.8627E+02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP = 0.5320

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 31 5.9044E-04 2.5541E+01 1.9990E+02  0.00E+00  -9.7316E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.7175E+00  1.0358E+00
 32 7.0773E-04 2.5004E+01 1.9990E+02  0.00E+00  -9.9167E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.7437E+00  1.0301E+00
 33 8.4681E-04 2.4473E+01 1.9990E+02  0.00E+00  -9.9689E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.7499E+00  1.0273E+00
 34 1.0114E-03 2.3948E+01 1.9990E+02  0.00E+00  -9.8480E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.7278E+00  1.0260E+00
 35 1.2059E-03 2.3427E+01 1.9991E+02  0.00E+00  -9.5253E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.6810E+00  1.0350E+00
 36 1.4352E-03 2.2912E+01 1.9991E+02  0.00E+00  -9.0128E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.5927E+00  1.0353E+00
 37 1.7050E-03 2.2403E+01 1.9992E+02  0.00E+00  -8.3644E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.4707E+00  1.0253E+00
 38 2.0220E-03 2.1898E+01 1.9992E+02  0.00E+00  -7.6695E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.3334E+00  1.0081E+00
 39 2.3937E-03 2.1399E+01 1.9993E+02  0.00E+00  -7.0236E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.2041E+00  9.9039E-01
 40 2.8286E-03 2.0906E+01 1.9993E+02  0.00E+00  -6.4854E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.0999E+00  9.7928E-01
 41 3.3367E-03 2.0417E+01 1.9994E+02  0.00E+00  -6.0486E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -2.0227E+00  9.7751E-01
 42 3.9289E-03 1.9934E+01 1.9994E+02  0.00E+00  -5.6683E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.9615E+00  9.8204E-01
 43 4.6181E-03 1.9457E+01 1.9995E+02  0.00E+00  -5.3272E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.9069E+00  9.8633E-01
 44 5.4185E-03 1.8984E+01 1.9995E+02  0.00E+00  -5.0684E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.8605E+00  9.8466E-01
 45 6.3464E-03 1.8517E+01 1.9995E+02  0.00E+00  -4.9601E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.8317E+00  9.7461E-01
 46 7.4199E-03 1.8056E+01 1.9995E+02  0.00E+00  -5.0387E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.8267E+00  9.5597E-01
 47 8.6596E-03 1.7599E+01 1.9995E+02  0.00E+00  -5.2834E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.8411E+00  9.2809E-01
 48 1.0088E-02 1.7148E+01 1.9994E+02  0.00E+00  -5.6168E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.8591E+00  8.8852E-01
 49 1.1732E-02 1.6702E+01 1.9994E+02  0.00E+00  -5.7929E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.8345E+00  8.3350E-01
 50 1.3620E-02 1.6262E+01 1.9994E+02  0.00E+00  -5.9641E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.7947E+00  7.6414E-01
 51 1.5782E-02 1.5827E+01 1.9994E+02  0.00E+00  -6.0663E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.7342E+00  6.8589E-01
 52 1.8256E-02 1.5397E+01 1.9994E+02  0.00E+00  -6.0520E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.6543E+00  6.0853E-01
 53 2.1080E-02 1.4973E+01 1.9994E+02  0.00E+00  -5.9076E-02  2.0000E+02  3.2925E-06  3.2925E-06  0.0000E+00 -1.5628E+00  5.4195E-01
