 NST=     1

  J  FUPIR_clear  FUPSOLTOT_clear  FDNIR_clear  FDNSOLTOT_clear  FUPIR_cloudy  FUPSOLTOT_cloudy  FDNIR_cloudy  FDNSOLTOT_cloudy
 53   2.504E+05   4.364E+04   2.296E+03   3.405E+05   9.006E+04   3.196E+05   2.296E+03   3.407E+05
 54   2.504E+05   4.359E+04   2.576E+03   3.403E+05   9.006E+04   3.196E+05   2.576E+03   3.405E+05
 55   2.504E+05   4.354E+04   2.875E+03   3.402E+05   9.006E+04   3.196E+05   2.875E+03   3.404E+05
 56   2.504E+05   4.348E+04   3.197E+03   3.400E+05   9.006E+04   3.195E+05   3.197E+03   3.403E+05
 57   2.504E+05   4.342E+04   3.544E+03   3.398E+05   9.006E+04   3.195E+05   3.544E+03   3.402E+05
 58   2.504E+05   4.334E+04   3.922E+03   3.396E+05   9.006E+04   3.195E+05   3.922E+03   3.400E+05
 59   2.504E+05   4.326E+04   4.335E+03   3.394E+05   9.006E+04   3.195E+05   4.335E+03   3.399E+05
 60   2.504E+05   4.316E+04   4.785E+03   3.392E+05   9.006E+04   3.194E+05   4.785E+03   3.397E+05
 61   2.504E+05   4.306E+04   5.273E+03   3.390E+05   9.006E+04   3.194E+05   5.273E+03   3.395E+05
 62   2.504E+05   4.294E+04   5.797E+03   3.387E+05   9.006E+04   3.194E+05   5.797E+03   3.394E+05
 63   2.504E+05   4.281E+04   6.353E+03   3.384E+05   9.006E+04   3.193E+05   6.353E+03   3.392E+05
 64   2.504E+05   4.266E+04   6.932E+03   3.382E+05   9.006E+04   3.193E+05   6.932E+03   3.390E+05
 65   2.505E+05   4.250E+04   7.527E+03   3.379E+05   9.006E+04   3.192E+05   7.527E+03   3.389E+05
 66   2.505E+05   4.232E+04   8.129E+03   3.376E+05   9.006E+04   3.192E+05   8.129E+03   3.387E+05
 67   2.505E+05   4.212E+04   8.725E+03   3.373E+05   9.006E+04   3.191E+05   8.725E+03   3.385E+05
 68   2.506E+05   4.190E+04   9.326E+03   3.370E+05   9.006E+04   3.191E+05   9.326E+03   3.383E+05
 69   2.506E+05   4.166E+04   9.942E+03   3.366E+05   9.006E+04   3.190E+05   9.942E+03   3.382E+05
 70   2.507E+05   4.140E+04   1.058E+04   3.362E+05   9.006E+04   3.190E+05   1.058E+04   3.380E+05
 71   2.508E+05   4.111E+04   1.125E+04   3.358E+05   9.006E+04   3.189E+05   1.125E+04   3.378E+05
 72   2.509E+05   4.080E+04   1.195E+04   3.354E+05   9.006E+04   3.188E+05   1.195E+04   3.375E+05
 73   2.510E+05   4.046E+04   1.268E+04   3.349E+05   9.006E+04   3.187E+05   1.268E+04   3.373E+05
 74   2.511E+05   4.009E+04   1.344E+04   3.344E+05   9.006E+04   3.187E+05   1.344E+04   3.371E+05
 75   2.513E+05   3.969E+04   1.422E+04   3.338E+05   9.006E+04   3.186E+05   1.422E+04   3.368E+05
 76   2.515E+05   3.926E+04   1.502E+04   3.332E+05   9.006E+04   3.185E+05   1.502E+04   3.365E+05
 77   2.517E+05   3.880E+04   1.584E+04   3.326E+05   9.006E+04   3.184E+05   1.584E+04   3.363E+05
 78   2.520E+05   3.830E+04   1.669E+04   3.319E+05   9.007E+04   3.184E+05   1.669E+04   3.360E+05
 79   2.524E+05   3.776E+04   1.758E+04   3.312E+05   9.008E+04   3.183E+05   1.758E+04   3.356E+05
 80   2.529E+05   3.718E+04   1.849E+04   3.304E+05   9.011E+04   3.182E+05   1.849E+04   3.353E+05
 81   2.536E+05   3.657E+04   1.944E+04   3.296E+05   9.027E+04   3.181E+05   1.946E+04   3.351E+05
 82   2.549E+05   3.591E+04   2.069E+04   3.287E+05   9.057E+04   3.180E+05   2.062E+04   3.350E+05
 83   2.569E+05   3.522E+04   2.292E+04   3.278E+05   1.036E+05   3.026E+05   1.027E+05   3.094E+05
 84   2.593E+05   3.447E+04   2.666E+04   3.268E+05   1.147E+05   2.859E+05   1.138E+05   2.921E+05
 85   2.621E+05   3.369E+04   3.236E+04   3.255E+05   1.267E+05   2.667E+05   1.259E+05   2.724E+05
 86   2.655E+05   3.285E+04   4.031E+04   3.239E+05   1.396E+05   2.453E+05   1.389E+05   2.504E+05
 87   2.696E+05   3.197E+04   5.041E+04   3.219E+05   1.535E+05   2.217E+05   1.529E+05   2.263E+05
 88   2.745E+05   3.104E+04   6.250E+04   3.194E+05   1.683E+05   1.961E+05   1.677E+05   2.001E+05
 89   2.801E+05   3.007E+04   7.625E+04   3.164E+05   1.840E+05   1.692E+05   1.835E+05   1.726E+05
 90   2.865E+05   2.904E+04   9.134E+04   3.128E+05   2.005E+05   1.420E+05   2.000E+05   1.449E+05
 91   2.938E+05   2.797E+04   1.078E+05   3.087E+05   2.176E+05   1.156E+05   2.173E+05   1.180E+05
 92   3.019E+05   2.685E+04   1.257E+05   3.041E+05   2.353E+05   9.171E+04   2.350E+05   9.352E+04
 93   3.106E+05   2.569E+04   1.447E+05   2.991E+05   2.533E+05   7.038E+04   2.530E+05   7.180E+04
 94   3.200E+05   2.448E+04   1.645E+05   2.938E+05   2.714E+05   5.201E+04   2.711E+05   5.311E+04
 95   3.298E+05   2.323E+04   1.844E+05   2.882E+05   2.894E+05   3.674E+04   2.891E+05   3.760E+04
 96   3.400E+05   2.195E+04   2.039E+05   2.825E+05   3.072E+05   2.447E+04   3.069E+05   2.515E+04
 97   3.508E+05   2.064E+04   2.232E+05   2.768E+05   3.252E+05   1.465E+04   3.249E+05   1.522E+04
 98   3.620E+05   1.930E+04   2.429E+05   2.711E+05   3.436E+05   6.933E+03   3.433E+05   7.437E+03
 99   3.731E+05   1.795E+04   2.632E+05   2.656E+05   3.620E+05   1.705E+03   3.612E+05   2.187E+03
100   3.832E+05   1.661E+04   2.847E+05   2.602E+05   3.832E+05   3.251E+01   3.788E+05   5.133E+02
101   3.880E+05   1.529E+04   3.033E+05   2.548E+05   3.880E+05   2.983E+01   3.838E+05   4.972E+02
 NST=     2

  J  FUPIR_clear  FUPSOLTOT_clear  FDNIR_clear  FDNSOLTOT_clear  FUPIR_cloudy  FUPSOLTOT_cloudy  FDNIR_cloudy  FDNSOLTOT_cloudy
  1   2.470E+05   4.409E+04   0.000E+00   3.418E+05   9.044E+04   3.141E+05   0.000E+00   3.418E+05
  2   2.470E+05   4.409E+04   1.825E+00   3.418E+05   9.044E+04   3.141E+05   1.034E+00   3.418E+05
  3   2.470E+05   4.409E+04   4.497E+00   3.418E+05   9.044E+04   3.141E+05   4.519E+00   3.418E+05
  4   2.470E+05   4.409E+04   5.841E+00   3.418E+05   9.044E+04   3.141E+05   5.664E+00   3.418E+05
  5   2.470E+05   4.409E+04   8.588E+00   3.418E+05   9.044E+04   3.141E+05   8.691E+00   3.418E+05
