     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
 1.8967E+01   4.6181E-03  1.9027E+02    3.2925E-06    0.0000E+00    9.7208E-01   -1.4631E+00    7.1172E-01    3.6000E-04
 1.8517E+01   5.4185E-03  1.9057E+02    3.2925E-06    0.0000E+00    9.7077E-01   -1.4409E+00    7.3017E-01    3.6000E-04
 1.8072E+01   6.3464E-03  1.9084E+02    3.2925E-06    0.0000E+00    9.6102E-01   -1.4276E+00    7.4728E-01    3.6000E-04
 1.7631E+01   7.4199E-03  1.9108E+02    3.2925E-06    0.0000E+00    9.4245E-01   -1.4297E+00    7.6306E-01    3.6000E-04
 1.7195E+01   8.6596E-03  1.9131E+02    3.2925E-06    0.0000E+00    9.1453E-01   -1.4464E+00    7.7763E-01    3.6000E-04
 1.6763E+01   1.0088E-02  1.9151E+02    3.2925E-06    0.0000E+00    8.7497E-01   -1.4674E+00    7.9122E-01    3.6000E-04
 1.6336E+01   1.1732E-02  1.9170E+02    3.2925E-06    0.0000E+00    8.1983E-01   -1.4569E+00    8.0415E-01    3.6000E-04
 1.5913E+01   1.3620E-02  1.9188E+02    3.2925E-06    0.0000E+00    7.5062E-01   -1.4348E+00    8.1672E-01    3.6000E-04
 1.5496E+01   1.5782E-02  1.9206E+02    3.2925E-06    0.0000E+00    6.7270E-01   -1.3956E+00    8.2925E-01    3.6000E-04
 1.5083E+01   1.8256E-02  1.9224E+02    3.2925E-06    0.0000E+00    5.9584E-01   -1.3394E+00    8.4204E-01    3.6000E-04
 1.4674E+01   2.1080E-02  1.9243E+02    3.2925E-06    0.0000E+00    5.3002E-01   -1.2718E+00    8.5532E-01    3.6000E-04
 1.4271E+01   2.4297E-02  1.9262E+02    3.2925E-06    0.0000E+00    4.8108E-01   -1.2015E+00    8.6924E-01    3.6000E-04
 1.3872E+01   2.7956E-02  1.9282E+02    3.2925E-06    0.0000E+00    4.4853E-01   -1.1376E+00    8.8388E-01    3.6000E-04
 1.3478E+01   3.2109E-02  1.9303E+02    3.2925E-06    0.0000E+00    4.2650E-01   -1.0854E+00    8.9928E-01    3.6000E-04
 1.3088E+01   3.6812E-02  1.9324E+02    3.2925E-06    0.0000E+00    4.0716E-01   -1.0448E+00    9.1546E-01    3.6000E-04
 1.2703E+01   4.2130E-02  1.9346E+02    3.2925E-06    0.0000E+00    3.8428E-01   -1.0118E+00    9.3249E-01    3.6000E-04
 1.2323E+01   4.8131E-02  1.9369E+02    3.2925E-06    0.0000E+00    3.5493E-01   -9.8164E-01    9.5047E-01    3.6000E-04
 1.1948E+01   5.4888E-02  1.9393E+02    3.2925E-06    0.0000E+00    3.1936E-01   -9.5058E-01    9.6954E-01    3.6000E-04
 1.1577E+01   6.2482E-02  1.9418E+02    3.2925E-06    0.0000E+00    2.8010E-01   -9.1499E-01    9.8989E-01    3.6000E-04
 1.1211E+01   7.1001E-02  1.9445E+02    3.2925E-06    0.0000E+00    2.4091E-01   -8.7139E-01    1.0117E+00    3.6000E-04
 1.0849E+01   8.0538E-02  1.9472E+02    3.2925E-06    0.0000E+00    2.0556E-01   -8.1831E-01    1.0351E+00    3.6000E-04
 1.0492E+01   9.1194E-02  1.9501E+02    3.2925E-06    0.0000E+00    1.7664E-01   -7.5818E-01    1.0601E+00    3.6000E-04
 1.0140E+01   1.0308E-01  1.9532E+02    3.2925E-06    0.0000E+00    1.5418E-01   -6.9248E-01    1.0869E+00    3.6000E-04
 9.7922E+00   1.1630E-01  1.9564E+02    3.2925E-06    0.0000E+00    1.3620E-01   -6.2207E-01    1.1153E+00    3.6000E-04
 9.4491E+00   1.3098E-01  1.9596E+02    3.2925E-06    0.0000E+00    1.2394E-01   -5.6782E-01    1.1453E+00    3.6000E-04
 9.1106E+00   1.4726E-01  1.9630E+02    3.2925E-06    0.0000E+00    1.1531E-01   -5.2857E-01    1.1768E+00    3.6000E-04
 8.7767E+00   1.6527E-01  1.9664E+02    3.2925E-06    0.0000E+00    1.0891E-01   -5.0035E-01    1.2099E+00    3.6000E-04
 8.4474E+00   1.8515E-01  1.9699E+02    3.2925E-06    0.0000E+00    1.0400E-01   -4.7813E-01    1.2445E+00    3.6000E-04
 8.1227E+00   2.0705E-01  1.9735E+02    3.2925E-06    0.0000E+00    1.0020E-01   -4.5764E-01    1.2807E+00    3.6000E-04
 7.8027E+00   2.3113E-01  1.9772E+02    3.2925E-06    0.0000E+00    9.7231E-02   -4.3647E-01    1.3188E+00    3.6000E-04
 7.4872E+00   2.5755E-01  1.9809E+02    3.2925E-06    0.0000E+00    9.4773E-02   -4.1405E-01    1.3588E+00    3.6000E-04
 7.1764E+00   2.8648E-01  1.9848E+02    3.2925E-06    0.0000E+00    9.2519E-02   -3.9100E-01    1.4010E+00    3.6000E-04
 6.8701E+00   3.1810E-01  1.9887E+02    3.2925E-06    0.0000E+00    9.0225E-02   -3.6839E-01    1.4454E+00    3.6000E-04
 6.5686E+00   3.5257E-01  1.9928E+02    3.2925E-06    0.0000E+00    8.7761E-02   -3.4710E-01    1.4920E+00    3.6000E-04
 6.2716E+00   3.9009E-01  1.9969E+02    3.2925E-06    0.0000E+00    8.5123E-02   -3.2726E-01    1.5403E+00    3.6000E-04
 5.9793E+00   4.3083E-01  2.0009E+02    3.2925E-06    0.0000E+00    8.2411E-02   -3.0812E-01    1.5895E+00    3.6000E-04
 5.6917E+00   4.7499E-01  2.0049E+02    3.2925E-06    0.0000E+00    7.9908E-02   -2.8940E-01    1.6399E+00    3.6000E-04
