 subl   677.000000000000     
 R   1.98720000000000     
 t0p   273.150000000000     
 P0P  6.103000000000000E-003
 i      TTAB(i)             PVAP(i)
 1  1.000000000000000E-002  6.116560000000000E-003
 2   5.00000000000000       8.725050000000000E-003
 3   10.0000000000000       1.228000000000000E-002
 4   15.0000000000000       1.705380000000000E-002
 5   20.0000000000000       2.338590000000000E-002
 6   25.0000000000000       3.168740000000000E-002
 7   30.0000000000000       4.245150000000000E-002
 8   35.0000000000000       5.626370000000000E-002
 9   40.0000000000000       7.381260000000001E-002
10   45.0000000000000       9.589780000000001E-002
11   50.0000000000000       0.123446000000000     
12   55.0000000000000       0.157520000000000     
13   60.0000000000000       0.199328000000000     
14   65.0000000000000       0.250234000000000     
15   70.0000000000000       0.311771000000000     
16   75.0000000000000       0.385646000000000     
17   80.0000000000000       0.473752000000000     
18   85.0000000000000       0.578175000000000     
19   90.0000000000000       0.701201000000000     
20   95.0000000000000       0.845325000000000     
21   100.000000000000        1.01325000000000     
22   105.000000000000        1.20791000000000     
23   110.000000000000        1.43244000000000     
24   115.000000000000        1.69023000000000     
25   120.000000000000        1.98486000000000     
26   125.000000000000        2.32017000000000     
27   130.000000000000        2.70023000000000     
28   135.000000000000        3.12932000000000     
29   140.000000000000        3.61197000000000     
30   145.000000000000        4.15293000000000     
31   150.000000000000        4.75719000000000     
32   155.000000000000        5.42995000000000     
33   160.000000000000        6.17665000000000     
34   165.000000000000        7.00295000000000     
35   170.000000000000        7.91472000000000     
36   175.000000000000        8.91806000000000     
37   180.000000000000        10.0193000000000     
38   185.000000000000        11.2249000000000     
39   190.000000000000        12.5416000000000     
40   195.000000000000        13.9764000000000     
41   200.000000000000        15.5364000000000     
42   205.000000000000        17.2289000000000     
43   210.000000000000        19.0615000000000     
44   215.000000000000        21.0420000000000     
45   220.000000000000        23.1781000000000     
46   225.000000000000        25.4782000000000     
47   230.000000000000        27.9504000000000     
48   235.000000000000        30.6035000000000     
49   240.000000000000        33.4459000000000     
50   245.000000000000        36.4869000000000     
51   250.000000000000        39.7354000000000     
52   255.000000000000        43.2008000000000     
53   260.000000000000        46.8929000000000     
54   265.000000000000        50.8214000000000     
55   270.000000000000        54.9965000000000     
56   275.000000000000        59.4285000000000     
57   280.000000000000        64.1283000000000     
58   285.000000000000        69.1068000000000     
59   290.000000000000        74.3756000000000     
60   295.000000000000        79.9464000000000     
61   300.000000000000        85.8315000000000     
62   305.000000000000        92.0439000000000     
63   310.000000000000        98.5970000000000     
64   315.000000000000        105.505000000000     
65   320.000000000000        112.783000000000     
66   325.000000000000        120.447000000000     
67   330.000000000000        128.514000000000     
68   335.000000000000        137.003000000000     
69   340.000000000000        145.933000000000     
70   345.000000000000        155.328000000000     
71   350.000000000000        165.212000000000     
72   355.000000000000        175.614000000000     
73   360.000000000000        186.568000000000     
74   365.000000000000        198.118000000000     
75   370.000000000000        210.327000000000     
76   373.970000000000        220.582000000000 
